"Date(UTC)","UnixTimeStamp","Value"
"7/30/2015","1438214400","11.5297"
"7/31/2015","1438300800","51.4594"
"8/1/2015","1438387200","57.7845"
"8/2/2015","1438473600","67.9224"
"8/3/2015","1438560000","74.5737"
"8/4/2015","1438646400","82.0352"
"8/5/2015","1438732800","86.1558"
"8/6/2015","1438819200","88.3326"
"8/7/2015","1438905600","95.2981"
"8/8/2015","1438992000","104.8971"
"8/9/2015","1439078400","109.6916"
"8/10/2015","1439164800","120.5988"
"8/11/2015","1439251200","134.7695"
"8/12/2015","1439337600","143.0004"
"8/13/2015","1439424000","156.6101"
"8/14/2015","1439510400","196.7576"
"8/15/2015","1439596800","227.6650"
"8/16/2015","1439683200","231.8948"
"8/17/2015","1439769600","258.9066"
"8/18/2015","1439856000","270.4645"
"8/19/2015","1439942400","284.0496"
"8/20/2015","1440028800","221.4382"
"8/21/2015","1440115200","277.2820"
"8/22/2015","1440201600","312.6127"
"8/23/2015","1440288000","317.1623"
"8/24/2015","1440374400","333.3458"
"8/25/2015","1440460800","325.2465"
"8/26/2015","1440547200","343.1277"
"8/27/2015","1440633600","341.1168"
"8/28/2015","1440720000","355.2287"
"8/29/2015","1440806400","351.4530"
"8/30/2015","1440892800","340.1440"
"8/31/2015","1440979200","359.3523"
"9/1/2015","1441065600","363.4134"
"9/2/2015","1441152000","355.9032"
"9/3/2015","1441238400","339.3088"
"9/4/2015","1441324800","350.0661"
"9/5/2015","1441411200","374.9170"
"9/6/2015","1441497600","388.4451"
"9/7/2015","1441584000","379.8349"
"9/8/2015","1441670400","370.7395"
"9/9/2015","1441756800","386.1935"
"9/10/2015","1441843200","392.0801"
"9/11/2015","1441929600","421.6556"
"9/12/2015","1442016000","424.2721"
"9/13/2015","1442102400","432.7014"
"9/14/2015","1442188800","399.6471"
"9/15/2015","1442275200","387.7858"
"9/16/2015","1442361600","383.9057"
"9/17/2015","1442448000","362.1457"
"9/18/2015","1442534400","346.2296"
"9/19/2015","1442620800","357.5566"
"9/20/2015","1442707200","408.7480"
"9/21/2015","1442793600","409.9779"
"9/22/2015","1442880000","410.0917"
"9/23/2015","1442966400","438.8619"
"9/24/2015","1443052800","436.2345"
"9/25/2015","1443139200","443.4970"
"9/26/2015","1443225600","440.6371"
"9/27/2015","1443312000","426.4440"
"9/28/2015","1443398400","391.4721"
"9/29/2015","1443484800","347.3122"
"9/30/2015","1443571200","332.8925"
"10/1/2015","1443657600","365.2783"
"10/2/2015","1443744000","378.4969"
"10/3/2015","1443830400","390.9186"
"10/4/2015","1443916800","371.1233"
"10/5/2015","1444003200","385.5859"
"10/6/2015","1444089600","368.4521"
